rmsd_l,rmsd_i,fnat,dbsa,dnonb_e,dnonb_water,dcom_distance,dhbnum,quality
0.3796352,0.2915404,0.14,-5.161000000000001,538.279,-2104.5999999999985,0.07500000000000018,-7.0,native
0.3960658,0.2932707,0.14,-5.556000000000001,506.38699999999994,-717.5,0.06899999999999995,-7.0,native
0.3510661,0.2982459,0.17,-4.8210000000000015,465.917,-1113.4000000000015,0.03699999999999992,-3.0,native
0.4286346,0.3130242,0.12,-4.763999999999999,468.551,-66.70000000000073,0.05500000000000016,-5.0,native
0.4316564,0.2923971,0.18,-4.390000000000001,504.33299999999997,-514.4000000000015,0.020999999999999908,-5.0,native
0.4455251,0.3193867,0.17,-2.801000000000002,439.06399999999996,-393.0,-0.03799999999999981,-4.0,native
0.4439187,0.2933607,0.18,-1.2590000000000003,391.3449999999999,-1106.4000000000015,-0.06700000000000017,-3.0,native
0.4222181,0.3063487,0.16,-1.9510000000000005,333.38599999999997,-316.2999999999993,-0.01100000000000012,-4.0,native
0.4429902,0.3015082,0.19,-2.7379999999999995,319.866,-258.40000000000146,-0.01100000000000012,-5.0,native
0.3398791,0.2756575,0.14,-2.450000000000003,470.09099999999995,-516.2999999999993,0.020000000000000018,-6.0,native
0.4075966,0.2930476,0.16,-4.577000000000002,397.6909999999999,-62.5,0.02200000000000024,-6.0,native
0.4786206,0.3528704,0.17,-5.452999999999999,391.3299999999999,411.2999999999993,0.06000000000000005,-3.0,native
0.4168601,0.3184834,0.17,-4.607000000000003,383.62299999999993,99.5,0.08199999999999985,-5.0,native
0.4713385,0.2923951,0.16,-3.497,483.07399999999996,-563.0999999999985,0.05699999999999994,-7.0,native
0.3914733,0.2428872,0.14,-0.7089999999999996,386.327,-806.5999999999985,0.018000000000000238,-5.0,native
0.5622798,0.2794964,0.08,-2.3770000000000024,424.53499999999997,-390.90000000000146,0.11799999999999988,-6.0,native
0.5569738,0.3020574,0.12,-4.359999999999999,440.21799999999996,-1549.5999999999985,0.06300000000000017,-6.0,native
0.4682023,0.2789698,0.16,-3.433,530.6969999999999,-1534.5999999999985,0.016000000000000014,-8.0,native
0.4423508,0.2768286,0.06,-5.097000000000001,484.426,-1294.2999999999993,0.05699999999999994,-7.0,native
0.7411571,0.3623468,0.05,-4.553000000000001,483.455,-1456.2999999999993,0.16500000000000004,-5.0,native
0.7350096,0.3030930,0.06,-3.5650000000000013,497.407,-1102.9000000000015,0.15399999999999991,-5.0,native
0.5988276,0.2678485,0.04,-6.493,322.81899999999996,-1405.5999999999985,0.16999999999999993,-2.0,native
0.6321020,0.2598355,0.07,-6.839,398.125,-1128.2999999999993,0.129,-5.0,native
0.5690600,0.2445059,0.1,-6.360000000000001,408.6569999999999,-134.40000000000146,0.14800000000000013,-5.0,native
0.6063694,0.2621241,0.1,-4.747,73.981,-823.0999999999985,0.18400000000000016,-1.0,native
0.6540263,0.2748142,0.07,-5.768000000000001,294.562,-399.40000000000146,0.17600000000000016,-4.0,native
0.6126352,0.2431974,0.09,-4.124000000000002,-4.2140000000000555,-676.4000000000015,0.07100000000000017,0.0,native
0.6013364,0.2625691,0.11,-4.812000000000001,178.29700000000003,-23.400000000001455,0.05799999999999983,-3.0,native
0.6026258,0.2731592,0.08,-7.025,366.326,-762.7999999999993,0.121,-5.0,native
0.5079640,0.2497487,0.08,-5.963000000000001,158.12299999999993,420.2000000000007,0.07900000000000018,-2.0,native
0.5007058,0.2823733,0.07,-8.825000000000001,320.6569999999999,-520.2999999999993,0.07200000000000006,-5.0,native
0.5736120,0.3399309,0.06,-11.412,596.8889999999999,-1463.7000000000007,0.1419999999999999,-8.0,native
0.5230491,0.3194628,0.07,-8.834000000000001,526.556,-1648.7000000000007,0.11699999999999999,-5.0,native
0.3932259,0.3076282,0.07,-8.505,554.95,-1682.4000000000015,0.08300000000000018,-7.0,native
0.5318305,0.3549123,0.04,-9.433000000000002,675.5989999999999,-2511.9000000000015,0.129,-8.0,native
0.4715930,0.3460463,0.08,-7.611000000000001,549.5429999999999,-1276.7000000000007,0.07900000000000018,-6.0,native
0.4432318,0.2953199,0.07,-7.590000000000002,601.393,-1290.5999999999985,0.1030000000000002,-7.0,native
0.4786378,0.3058032,0.07,-7.871,585.644,-1332.0,0.121,-6.0,native
0.4390471,0.2890811,0.04,-8.413,490.424,-439.2000000000007,0.09600000000000009,-7.0,native
